INFO:mqtt_server:Connected to test.mosquitto.org at port 1883 at 12:38:56.490452
INFO:mqtt_server:Current status at 12:38:57.388923: {'people': inf, 'bikes': 0, 'alert': '1', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:38:58.328265: {'people': inf, 'bikes': 0, 'alert': '1', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Reset state
INFO:mqtt_server:Current status at 12:39:24.426004: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': []}
INFO:mqtt_server:Current status at 12:39:32.301966: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:33.576578: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:35.138253: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:36.655311: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:38.168255: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:39.628908: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:41.218518: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:42.926878: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:44.755986: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:46.707336: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:46.729423: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:48.174905: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:49.507590: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:51.143756: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
INFO:mqtt_server:Current status at 12:39:52.860340: {'people': inf, 'bikes': 0, 'alert': '0', 'cam_2_people_locations': [], 'lot_status': None}
